Anzahl Random;Number of Records;Geschlecht (group);Befragungsjahr;Schultyp;Alter;Geschlecht;GefallenSchule;AendernSchule;Lieblingsfach;Berufswunsch;SorgenSchule;SorgenAusbildung;SorgenFamilie;SorgenBeziehung;SorgenFinanzen;SorgenGesundheit;Wohnortwunsch
1;1;Weiblich;2009;Gymnasium;11 bis 14 Jahre;Weiblich;Eher gut;keine Angabe;Ein anderes Fach;Wirtschaft, Verwaltung;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;Amerika
1;1;Männlich;2009;Gymnasium;11 bis 14 Jahre;Männlich;Eher gut;weniger Tests/besser verteilt;Ein anderes Fach;Keine Angabe;Nein;Nein;Nein;Eher nicht;Nein;Nein;Region Basel
1;1;Weiblich;2009;Gymnasium;11 bis 14 Jahre;Weiblich;Eher gut;später beginnen;Ein anderes Fach;Gestaltung, Kunst;Ja;Nein;Ja;Eher nicht;Nein;Nein;Region Basel
1;1;Männlich;2009;Gymnasium;11 bis 14 Jahre;Männlich;Sehr gut;keine Angabe;Mathematik;Keine Angabe;Nein;Nein;Nein;Eher nicht;Nein;Nein;Region Basel
1;1;Männlich;2009;Gymnasium;11 bis 14 Jahre;Männlich;Eher gut;keine Angabe;Sport;Keine Angabe;Nein;Nein;Nein;Überhaupt nicht;Nein;Nein;Neuseeland
1;1;Weiblich;2009;Gymnasium;11 bis 14 Jahre;Weiblich;Eher gut;keine Angabe;Englisch;Keine Angabe;Nein;Ja;Nein;Sehr stark;Nein;Ja;Hawaii
1;1;Weiblich;2009;Gymnasium;11 bis 14 Jahre;Weiblich;Sehr gut;keine Angabe;Sport;anderes;Ja;Nein;Nein;Überhaupt nicht;Nein;Nein;Region Basel
1;1;Männlich;2009;Gymnasium;15 bis 17 Jahre;Männlich;Eher gut;keine Angabe;Ein anderes Fach;Chemie, Physik;Nein;Nein;Nein;Eher nicht;Nein;Nein;Region Basel
1;1;Männlich;2009;Gymnasium;11 bis 14 Jahre;Männlich;Eher gut;keine Angabe;Ein anderes Fach;Keine Angabe;Nein;Nein;Nein;Eher nicht;Nein;Nein;Region Basel
1;1;Männlich;2009;Gymnasium;11 bis 14 Jahre;Männlich;Eher gut;längere Pausen;Ein anderes Fach;Keine Angabe;Nein;Nein;Nein;Eher nicht;Nein;Nein;Region Basel
